type,genre,total,rnk
Movie,"International Movies",2369,1
Movie,Dramas,2293,2
Movie,Comedies,1553,3
Movie,"Action & Adventure",806,4
Movie,"Independent Movies",740,5
Movie,"Romantic Movies",579,6
Movie,Thrillers,547,7
Movie,"Children & Family Movies",503,8
Movie,Documentaries,391,9
Movie,"Horror Movies",336,10
Movie,"Stand-Up Comedy",294,11
Movie,"Music & Musicals",292,12
Movie,"Sci-Fi & Fantasy",236,13
Movie,"Sports Movies",156,14
Movie,"Classic Movies",108,15
"TV Show","International TV Shows",87,1
"TV Show","TV Dramas",52,2
"TV Show","Crime TV Shows",38,3
"TV Show","TV Comedies",30,4
"TV Show","Romantic TV Shows",21,5
"TV Show","British TV Shows",21,6
"TV Show",Docuseries,14,7
"TV Show","TV Action & Adventure",13,8
"TV Show","Kids' TV",13,9
"TV Show","Stand-Up Comedy & Talk Shows",11,10
"TV Show","Spanish-Language TV Shows",10,11
"TV Show","Anime Series",10,12
"TV Show","Korean TV Shows",10,13
"TV Show","TV Mysteries",8,14
"TV Show","TV Horror",7,15
